,out,tokens
113,"[0.4809446699781073, -0.0303785231347416, 0.1675613667185734, 0.005841262593949]","[101, 19034, 2452, 26499, 1012, 1019, 4261, 2575, 1012, 1019, 20003, 1012, 1022, 24231, 1012, 1016, 6353, 1012, 1018, 1011, 1023, 1012, 1016, 2531, 2549, 1012, 1014, 2529, 3531, 2202, 1996, 2452, 19034, 5835, 4601, 2683, 1012, 1019, 4720, 2549, 1012, 1014, 11816, 1012, 1020, 4261, 2549, 1012, 1014, 6640, 2692, 1012, 1019, 28906, 1012, 1019, 19883, 2549, 1012, 1014, 102]"
114,"[0.2882282428697875, -0.1678587588393835, 0.1935395655390734, 0.0031110920877153]","[101, 19034, 5835, 28135, 1012, 1014, 4029, 2475, 1012, 1014, 3438, 1012, 1021, 18744, 1012, 1016, 2340, 1012, 1017, 1011, 8380, 1012, 1020, 3515, 2620, 1012, 1014, 2529, 6723, 1996, 2452, 3531, 19034, 2452, 20294, 1012, 1015, 25143, 1012, 1014, 12104, 1012, 1014, 17317, 1012, 1022, 1011, 11827, 1012, 1015, 1011, 16798, 1012, 1017, 6227, 2692, 1012, 1014, 102]"
115,"[0.574400678843932, 0.0114049548471117, 0.2798659612478197, -0.0332030661403648]","[101, 19034, 1060, 10020, 28469, 1012, 2423, 1061, 10020, 17832, 1012, 4293, 1060, 17848, 4464, 2509, 1012, 4293, 1061, 17848, 22904, 1012, 1014, 2415, 1035, 1060, 9475, 2415, 1035, 1061, 22030, 7605, 1035, 1060, 2531, 1012, 25797, 2692, 16703, 7605, 1035, 1061, 1011, 1015, 1012, 26499, 22610, 2575, 7605, 1035, 1062, 25897, 1012, 1014, 7023, 1014, 1012, 6109, 12740, 2620, 2475, 2465, 4464, 2171, 5835, 3058, 2570, 1011, 5641, 1011, 16798, 2475, 2051, 2321, 1024, 2321, 1024, 5757, 9099, 1035, 1060, 1014, 1012, 5401, 22932, 24096, 9099, 1035, 1061, 1014, 1012, 5890, 16932, 2692, 2629, 9099, 1035, 1062, 1014, 1012, 25745, 20842, 2575, 1053, 1035, 1060, 1011, 1014, 1012, 6109, 2581, 2620, 2683, 2487, 1053, 1035, 1061, 1014, 1012, 23785, 16703, 2575, 1053, 1035, 1062, 1011, 1014, 1012, 6021, 16703, 2692, 2509, 1053, 1035, 1059, 1011, 1014, 1012, 4002, 22407, 2692, 2581, 2171, 1024, 3429, 1010, 26718, 18863, 1024, 4874, 28469, 1012, 1016, 4464, 2509, 1012, 1022, 17832, 1012, 1022, 22904, 1012, 1014, 2531, 1012, 1017, 1011, 1015, 1012, 1017, 25897, 1012, 1014, 19034, 1060, 10020, 4261, 2475, 1012, 2423, 1061, 10020, 2410, 1012, 4293, 1060, 17848, 4008, 2629, 1012, 4293, 1061, 17848, 19843, 1012, 2423, 2415, 1035, 1060, 2871, 2683, 2415, 1035, 1061, 7287, 7605, 1035, 1060, 24673, 1012, 5388, 2620, 19841, 2629, 7605, 1035, 1061, 1011, 23712, 1012, 28048, 16576, 2620, 7605, 1035, 1062, 28192, 1012, 1014, 7023, 1014, 1012, 6205, 17465, 2692, 2683, 2465, 4464, 2171, 5835, 3058, 2539, 1011, 5641, 1011, 16798, 2475, 2051, 2603, 1024, 2321, 1024, 2459, 9099, 1035, 1060, 1014, 1012, 27234, 20842, 2549, 9099, 1035, 1061, 1014, 1012, 5539, 18827, 2509, 9099, 1035, 1062, 1014, 1012, 20741, 12521, 2487, 1053, 1035, 1060, 1011, 1014, 1012, 3515, 17465, 22610, 1053, 1035, 1061, 1011, 1014, 1012, 23628, 28154, 2575, 1053, 1035, 1062, 1014, 1012, 25048, 23632, 2575, 1053, 1035, 1059, 1011, 1014, 1012, 4185, 27009, 2683, 2620, 2171, 1024, 6356, 1010, 26718, 18863, 1024, 4874, 4261, 2475, 1012, 1016, 4008, 2629, 1012, 1022, 2410, 1012, 1022, 19843, 1012, 1016, 24673, 1012, 1020, 1011, 23712, 1012, 1018, 28192, 1012, 1014, 2529, 6723, 1996, 2187, 4874, 3531, 102]"
116,"[0.4870810579625033, 0.2158600202708159, 0.2178227432188976, 0.2930448958492106]","[101, 19034, 1060, 10020, 4261, 2549, 1012, 1019, 1061, 10020, 5179, 1012, 6109, 23352, 1060, 17848, 3429, 2581, 1012, 1014, 1061, 17848, 25103, 1012, 1014, 2415, 1035, 1060, 24690, 2415, 1035, 1061, 17867, 7605, 1035, 1060, 19446, 1012, 5824, 27814, 2581, 2581, 7605, 1035, 1061, 1011, 16528, 1012, 3429, 2683, 19317, 2475, 7605, 1035, 1062, 6255, 2487, 1012, 1014, 7023, 1014, 1012, 6205, 2620, 2683, 19961, 2465, 4464, 2171, 5835, 3058, 2539, 1011, 5641, 1011, 16798, 2475, 2051, 2603, 1024, 2321, 1024, 4090, 9099, 1035, 1060, 1014, 1012, 4466, 19841, 2620, 2487, 9099, 1035, 1061, 1014, 1012, 17405, 20842, 9099, 1035, 1062, 1014, 1012, 20335, 2620, 21926, 1053, 1035, 1060, 1011, 1014, 1012, 3515, 2575, 22907, 2683, 1053, 1035, 1061, 1011, 1014, 1012, 25143, 2620, 2581, 2509, 1053, 1035, 1062, 1014, 1012, 26953, 2692, 19961, 1053, 1035, 1059, 1011, 1014, 1012, 4185, 14526, 2683, 2549, 2171, 1024, 4293, 1010, 26718, 18863, 1024, 4874, 4261, 2549, 1012, 1019, 3429, 2581, 1012, 1014, 5179, 1012, 1023, 25103, 1012, 1014, 19446, 1012, 1021, 1011, 16528, 1012, 1019, 6255, 2487, 1012, 1014, 2529, 6723, 1996, 2157, 3482, 19034, 1060, 10020, 20802, 1012, 4293, 1061, 10020, 17613, 1012, 4293, 1060, 17848, 26257, 1012, 4293, 1061, 17848, 18034, 1012, 4293, 2415, 1035, 1060, 25717, 2415, 1035, 1061, 26871, 7605, 1035, 1060, 1011, 6070, 1012, 3938, 28311, 23833, 7605, 1035, 1061, 6255, 1012, 16785, 2581, 2581, 2549, 7605, 1035, 1062, 3515, 2475, 1012, 1014, 7023, 1014, 1012, 5786, 19481, 19481, 2465, 4464, 2171, 5835, 3058, 2570, 1011, 5641, 1011, 16798, 2475, 2051, 2321, 1024, 2410, 1024, 2871, 9099, 1035, 1060, 1014, 1012, 6353, 10790, 17134, 9099, 1035, 1061, 1011, 1014, 1012, 12904, 2683, 2575, 2487, 9099, 1035, 1062, 1014, 1012, 23768, 16147, 2575, 1053, 1035, 1060, 1014, 1012, 6109, 17465, 24096, 1053, 1035, 1061, 1011, 1014, 1012, 9475, 2683, 21472, 1053, 1035, 1062, 1011, 1014, 1012, 4002, 19481, 22407, 1053, 1035, 1059, 1014, 1012, 6185, 2683, 2620, 2683, 2171, 1024, 4029, 1010, 26718, 18863, 1024, 4874, 20802, 1012, 1022, 26257, 1012, 1022, 17613, 1012, 1022, 18034, 1012, 1022, 1011, 6070, 1012, 1023, 6255, 1012, 1016, 3515, 2475, 1012, 1014, 102]"
117,"[0.4934341925052867, 0.1338206609083145, 0.3206819911058318, -0.0033670175323738]","[101, 19034, 5835, 4229, 2620, 1012, 1016, 4466, 2487, 1012, 1016, 7287, 1012, 1018, 21950, 1012, 1019, 5388, 2549, 1012, 1018, 1011, 24231, 1012, 1019, 2786, 1012, 1014, 2529, 3413, 2033, 1996, 4874, 3531, 19034, 2452, 3998, 1012, 1019, 3486, 2509, 1012, 1014, 17832, 1012, 1022, 23593, 1012, 1016, 1020, 1012, 1019, 1011, 4583, 1012, 1023, 5139, 2549, 1012, 1014, 102]"
118,"[0.6617798344960288, 0.016638793491486, 0.2235644301734284, 0.2865579578188185]","[101, 19034, 1060, 10020, 4464, 2581, 1012, 1014, 1061, 10020, 9800, 1012, 8732, 1060, 17848, 3429, 2620, 1012, 1014, 1061, 17848, 23593, 1012, 27658, 2415, 1035, 1060, 4413, 2581, 2415, 1035, 1061, 10894, 7605, 1035, 1060, 15407, 1012, 22898, 2683, 26224, 7605, 1035, 1061, 1011, 6070, 1012, 28203, 2620, 19961, 7605, 1035, 1062, 4749, 2575, 1012, 1014, 7023, 1014, 1012, 6205, 2581, 18139, 2465, 4464, 2171, 5835, 3058, 2570, 1011, 5641, 1011, 16798, 2475, 2051, 2321, 1024, 2321, 1024, 3943, 9099, 1035, 1060, 1014, 1012, 2871, 2683, 26976, 2629, 9099, 1035, 1061, 1014, 1012, 29186, 26187, 9099, 1035, 1062, 1014, 1012, 27054, 2692, 18827, 1053, 1035, 1060, 1011, 1014, 1012, 6227, 2620, 23499, 2575, 1053, 1035, 1061, 1014, 1012, 16444, 2683, 26976, 1053, 1035, 1062, 1011, 1014, 1012, 5890, 16048, 2620, 2475, 1053, 1035, 1059, 1011, 1014, 1012, 5890, 2620, 16703, 2575, 2171, 1024, 2753, 1010, 26718, 18863, 1024, 4874, 4464, 2581, 1012, 1014, 3429, 2620, 1012, 1014, 9800, 1012, 1015, 23593, 1012, 1023, 15407, 1012, 1017, 1011, 6070, 1012, 1018, 4749, 2575, 1012, 1014, 2529, 2064, 1045, 2031, 1996, 2187, 5835, 19034, 1060, 10020, 21005, 1012, 18034, 1061, 10020, 11118, 1012, 1019, 1060, 17848, 19652, 1012, 1014, 1061, 17848, 4261, 2487, 1012, 2423, 2415, 1035, 1060, 21777, 2415, 1035, 1061, 22343, 7605, 1035, 1060, 1011, 5388, 1012, 6191, 21057, 2581, 2509, 7605, 1035, 1061, 1018, 1012, 5890, 24434, 2692, 2575, 7605, 1035, 1062, 6079, 2683, 1012, 1014, 7023, 1014, 1012, 6070, 22407, 12521, 2465, 4464, 2171, 5835, 3058, 2539, 1011, 5641, 1011, 16798, 2475, 2051, 2603, 1024, 2403, 1024, 4090, 9099, 1035, 1060, 1014, 1012, 5764, 16576, 2620, 9099, 1035, 1061, 1014, 1012, 5890, 28756, 23499, 9099, 1035, 1062, 1014, 1012, 20802, 26976, 2549, 1053, 1035, 1060, 1011, 1014, 1012, 5764, 27814, 22022, 1053, 1035, 1061, 1011, 1014, 1012, 25578, 28311, 2581, 1053, 1035, 1062, 1014, 1012, 24921, 24087, 2620, 1053, 1035, 1059, 1011, 1014, 1012, 23609, 22610, 2575, 2171, 1024, 6390, 1010, 26718, 18863, 1024, 4874, 21005, 1012, 1018, 19652, 1012, 1014, 11118, 1012, 1019, 4261, 2487, 1012, 1016, 1011, 5388, 1012, 1020, 1018, 1012, 1014, 6079, 2683, 1012, 1014, 102]"
119,"[0.6877720976894238, 0.1588244012173118, 0.2986257533158598, 0.0153944213900961]","[101, 19034, 1060, 10020, 3429, 2629, 1012, 1019, 1061, 10020, 19235, 1012, 27658, 1060, 17848, 5139, 2575, 1012, 1014, 1061, 17848, 4261, 2487, 1012, 1019, 2415, 1035, 1060, 3156, 2415, 1035, 1061, 27173, 7605, 1035, 1060, 9645, 2629, 1012, 6564, 2683, 2683, 18827, 7605, 1035, 1061, 24559, 1012, 25873, 22203, 2620, 7605, 1035, 1062, 14993, 2487, 1012, 1014, 7023, 1014, 1012, 6205, 19481, 2581, 2549, 2465, 4464, 2171, 5835, 3058, 2570, 1011, 5641, 1011, 16798, 2475, 2051, 2321, 1024, 2321, 1024, 4413, 9099, 1035, 1060, 1014, 1012, 6273, 2581, 2581, 2581, 2475, 9099, 1035, 1061, 1014, 1012, 17696, 2620, 18827, 9099, 1035, 1062, 1014, 1012, 27240, 2575, 23833, 1053, 1035, 1060, 1014, 1012, 6365, 16703, 2620, 2581, 1053, 1035, 1061, 1011, 1014, 1012, 14210, 2575, 16576, 1053, 1035, 1062, 1014, 1012, 5890, 22275, 2683, 2549, 1053, 1035, 1059, 1014, 1012, 6185, 28311, 2683, 2171, 1024, 4720, 1010, 26718, 18863, 1024, 4874, 3429, 2629, 1012, 1019, 5139, 2575, 1012, 1014, 19235, 1012, 1023, 4261, 2487, 1012, 1019, 9645, 2629, 1012, 1023, 24559, 1012, 1018, 14993, 2487, 1012, 1014, 19034, 1060, 10020, 19540, 1012, 4293, 1061, 10020, 16734, 1012, 22810, 1060, 17848, 2753, 2549, 1012, 4293, 1061, 17848, 19988, 1012, 1014, 2415, 1035, 1060, 4805, 2581, 2415, 1035, 1061, 22777, 7605, 1035, 1060, 17365, 1012, 26271, 2683, 28154, 7605, 1035, 1061, 1011, 2184, 1012, 5187, 2581, 23632, 2581, 7605, 1035, 1062, 4413, 2575, 1012, 1014, 7023, 1014, 1012, 6109, 23833, 16576, 2465, 4464, 2171, 5835, 3058, 2570, 1011, 5641, 1011, 16798, 2475, 2051, 2321, 1024, 2321, 1024, 4229, 9099, 1035, 1060, 1014, 1012, 5179, 16048, 2581, 2549, 9099, 1035, 1061, 1014, 1012, 27676, 18827, 9099, 1035, 1062, 1014, 1012, 26871, 12521, 2620, 1053, 1035, 1060, 1011, 1014, 1012, 6109, 16932, 2692, 2549, 1053, 1035, 1061, 1014, 1012, 4029, 21619, 2620, 2683, 1053, 1035, 1062, 1011, 1014, 1012, 4002, 19481, 27531, 1053, 1035, 1059, 1011, 1014, 1012, 5890, 20958, 2683, 2171, 1024, 4868, 1010, 26718, 18863, 1024, 4874, 19540, 1012, 1022, 2753, 2549, 1012, 1022, 16734, 1012, 1020, 19988, 1012, 1014, 17365, 1012, 1018, 1011, 2184, 1012, 1019, 4413, 2575, 1012, 1014, 2529, 2192, 2033, 1996, 2157, 11565, 6073, 2099, 102]"
120,"[0.4794593657171276, 0.1129011570952087, 0.2904640037412822, -0.0138363169556308]","[101, 19034, 5835, 4261, 2683, 1012, 1016, 4008, 2475, 1012, 1022, 8732, 1012, 1023, 20549, 1012, 1019, 4868, 2487, 1012, 1020, 1011, 24568, 1012, 1019, 20636, 2629, 1012, 1014, 2529, 3531, 2192, 2033, 1996, 5835, 19034, 2452, 9475, 1012, 1016, 27517, 1012, 1016, 7558, 1012, 1020, 18744, 1012, 1020, 27954, 1012, 1021, 1011, 4261, 2509, 1012, 1017, 18540, 2629, 1012, 1014, 102]"
121,"[0.6394099527679455, -0.1625111480622289, 0.2053258243812888, -0.0105398889628379]","[101, 19034, 1060, 10020, 4724, 2509, 1012, 2423, 1061, 10020, 25162, 1012, 1019, 1060, 17848, 2753, 2549, 1012, 2423, 1061, 17848, 23785, 1012, 1019, 2415, 1035, 1060, 4805, 2620, 2415, 1035, 1061, 24622, 7605, 1035, 1060, 6282, 2692, 1012, 6535, 27814, 23499, 7605, 1035, 1061, 4261, 2509, 1012, 24232, 22203, 2509, 7605, 1035, 1062, 18164, 2575, 1012, 1014, 7023, 1014, 1012, 6079, 28311, 21926, 2465, 4601, 2171, 2452, 3058, 2539, 1011, 5641, 1011, 16798, 2475, 2051, 2603, 1024, 2324, 1024, 2385, 9099, 1035, 1060, 1014, 1012, 6191, 20958, 2581, 2509, 9099, 1035, 1061, 1014, 1012, 5641, 23777, 21619, 9099, 1035, 1062, 1014, 1012, 29140, 24087, 1053, 1035, 1060, 1011, 1014, 1012, 6227, 2683, 19961, 2487, 1053, 1035, 1061, 1014, 1012, 4029, 17914, 2683, 2629, 1053, 1035, 1062, 1011, 1014, 1012, 4002, 23352, 16147, 1053, 1035, 1059, 1011, 1014, 1012, 6185, 22025, 2581, 2581, 2171, 1024, 3770, 1010, 26718, 18863, 1024, 4874, 4724, 2509, 1012, 1016, 2753, 2549, 1012, 1016, 25162, 1012, 1019, 23785, 1012, 1019, 6282, 2692, 1012, 1022, 4261, 2509, 1012, 1017, 18164, 2575, 1012, 1014, 19034, 1060, 10020, 23593, 1012, 18034, 1061, 10020, 5539, 1012, 1019, 1060, 17848, 25048, 1012, 1019, 1061, 17848, 3486, 2683, 1012, 1019, 2415, 1035, 1060, 24231, 2415, 1035, 1061, 20405, 7605, 1035, 1060, 1011, 6365, 1012, 4466, 2575, 2620, 21926, 7605, 1035, 1061, 13029, 1012, 16471, 2620, 2581, 2549, 7605, 1035, 1062, 6421, 2629, 1012, 1014, 7023, 1014, 1012, 25048, 16703, 2575, 2465, 4601, 2171, 2452, 3058, 2539, 1011, 5641, 1011, 16798, 2475, 2051, 2570, 1024, 4008, 1024, 4805, 9099, 1035, 1060, 1014, 1012, 6191, 2683, 23632, 9099, 1035, 1061, 1011, 1014, 1012, 26263, 14526, 9099, 1035, 1062, 1014, 1012, 16327, 16703, 2575, 1053, 1035, 1060, 1011, 1014, 1012, 6109, 22025, 2581, 2475, 1053, 1035, 1061, 1014, 1012, 27509, 21084, 1053, 1035, 1062, 1011, 1014, 1012, 5890, 2692, 27009, 1053, 1035, 1059, 1011, 1014, 1012, 6185, 12740, 2620, 2581, 2171, 1024, 5179, 1010, 26718, 18863, 1024, 4874, 23593, 1012, 1018, 25048, 1012, 1019, 5539, 1012, 1019, 3486, 2683, 1012, 1019, 1011, 6365, 1012, 1019, 13029, 1012, 1015, 6421, 2629, 1012, 1014, 2529, 2202, 1996, 2187, 14757, 102]"
122,"[0.271005540080076, 0.1342513074638265, 0.2968154940907666, -0.0062010710611588]","[101, 19034, 5835, 4029, 2509, 1012, 1019, 4601, 2575, 1012, 1019, 5187, 1012, 1018, 11827, 1012, 1014, 18225, 1012, 1022, 1011, 28135, 1012, 1018, 5986, 2509, 1012, 1014, 19034, 2452, 16029, 1012, 1016, 23988, 1012, 1016, 20741, 1012, 1022, 26257, 1012, 1016, 13285, 1012, 1015, 4185, 1012, 1021, 3938, 2629, 1012, 1014, 2529, 3531, 3413, 2033, 1996, 4874, 102]"
123,"[0.6232539426436519, -0.1760671241145808, 0.1704107963028893, -0.030214489760162]","[101, 2529, 2192, 2033, 1996, 14757, 3531, 19034, 5835, 25797, 1012, 1014, 3486, 2509, 1012, 1019, 2324, 1012, 1022, 19015, 1012, 1015, 1015, 1012, 1018, 1011, 24231, 1012, 1023, 6070, 2629, 1012, 1014, 19034, 2452, 18164, 1012, 1023, 21777, 1012, 1014, 25143, 1012, 1019, 8698, 1012, 1014, 1011, 14748, 1012, 1020, 15028, 1012, 1022, 4293, 2581, 1012, 1014, 102]"
124,"[0.2805501276348333, -0.1816837302143716, 0.1710512985184434, -0.0008404641910564]","[101, 19034, 2452, 18744, 1012, 1020, 24398, 1012, 1016, 14010, 1012, 1023, 19975, 1012, 1014, 1011, 19594, 1012, 1016, 1011, 19871, 1012, 1022, 5345, 2487, 1012, 1014, 19034, 5835, 28906, 1012, 1019, 4601, 2683, 1012, 1014, 4720, 1012, 1015, 19871, 1012, 1022, 1014, 1012, 1014, 1011, 1014, 1012, 1014, 1014, 1012, 1014, 2529, 10616, 1996, 2452, 102]"
125,"[-1.0, -1.0, -1.0, -1.0]","[101, 19034, 1060, 10020, 21005, 1012, 1019, 1061, 10020, 11176, 1012, 1014, 1060, 17848, 19652, 1012, 1019, 1061, 17848, 4261, 2487, 1012, 4293, 2415, 1035, 1060, 21777, 2415, 1035, 1061, 22343, 7605, 1035, 1060, 1011, 5388, 1012, 5139, 23777, 23632, 7605, 1035, 1061, 1018, 1012, 4002, 2581, 19317, 2475, 7605, 1035, 1062, 6079, 2620, 1012, 1014, 7023, 1014, 1012, 6584, 2683, 23499, 2629, 2465, 4464, 2171, 5835, 3058, 2539, 1011, 5641, 1011, 16798, 2475, 2051, 2603, 1024, 2403, 1024, 2340, 9099, 1035, 1060, 1014, 1012, 5764, 16576, 2581, 2683, 9099, 1035, 1061, 1014, 1012, 5890, 28756, 22022, 9099, 1035, 1062, 1014, 1012, 20802, 26976, 2629, 1053, 1035, 1060, 1011, 1014, 1012, 5764, 27814, 22022, 1053, 1035, 1061, 1011, 1014, 1012, 25578, 28311, 2509, 1053, 1035, 1062, 1014, 1012, 24921, 26976, 1053, 1035, 1059, 1011, 1014, 1012, 23609, 22610, 2581, 2171, 1024, 3963, 1010, 26718, 18863, 1024, 4874, 21005, 1012, 1019, 19652, 1012, 1019, 11176, 1012, 1014, 4261, 2487, 1012, 1022, 1011, 5388, 1012, 1019, 1018, 1012, 1014, 6079, 2620, 1012, 1014, 2529, 3531, 2192, 2033, 1996, 14757, 19034, 5835, 21005, 1012, 1018, 19652, 1012, 1014, 11118, 1012, 1019, 4261, 2487, 1012, 1016, 1011, 5388, 1012, 1020, 1018, 1012, 1014, 6079, 2683, 1012, 1014, 102]"
126,"[0.2821329208084642, 0.1178480003595331, 0.2020669618623339, 0.0078092223728068]","[101, 19034, 5835, 19342, 1012, 1019, 22649, 1012, 1014, 13285, 1012, 1020, 19871, 1012, 1023, 17943, 1012, 1015, 1011, 19015, 1012, 1019, 9402, 2549, 1012, 1014, 2529, 2064, 1045, 2031, 1996, 3482, 3531, 19034, 2452, 25162, 1012, 1022, 23768, 1012, 1022, 5179, 1012, 1023, 10715, 1012, 1015, 1011, 4229, 1012, 1020, 1011, 10545, 1012, 1017, 5139, 2487, 1012, 1014, 102]"
127,"[0.5706715012924846, -0.0224868479985164, 0.1988993913769697, -0.0264749846066968]","[101, 19034, 1060, 10020, 3998, 1012, 1019, 1061, 10020, 17832, 1012, 4293, 1060, 17848, 3486, 2509, 1012, 1014, 1061, 17848, 23593, 1012, 2423, 2415, 1035, 1060, 28188, 2415, 1035, 1061, 20713, 7605, 1035, 1060, 1020, 1012, 4749, 16703, 2692, 2620, 7605, 1035, 1061, 1011, 4583, 1012, 6205, 25746, 2683, 2629, 7605, 1035, 1062, 5139, 2549, 1012, 1014, 7023, 1014, 1012, 6445, 22203, 2683, 2629, 2465, 4601, 2171, 2452, 3058, 2570, 1011, 5641, 1011, 16798, 2475, 2051, 2321, 1024, 5511, 1024, 4090, 9099, 1035, 1060, 1014, 1012, 4229, 23833, 2575, 2475, 9099, 1035, 1061, 1011, 1014, 1012, 5840, 19961, 27531, 9099, 1035, 1062, 1014, 1012, 13913, 2581, 2581, 2575, 1053, 1035, 1060, 1011, 1014, 1012, 6227, 2620, 17465, 2581, 1053, 1035, 1061, 1014, 1012, 4261, 10790, 2509, 1053, 1035, 1062, 1011, 1014, 1012, 5890, 28756, 27009, 1053, 1035, 1059, 1011, 1014, 1012, 6185, 16576, 23632, 2171, 1024, 2184, 1010, 26718, 18863, 1024, 4874, 3998, 1012, 1019, 3486, 2509, 1012, 1014, 17832, 1012, 1022, 23593, 1012, 1016, 1020, 1012, 1019, 1011, 4583, 1012, 1023, 5139, 2549, 1012, 1014, 2529, 6723, 1996, 2157, 14757, 19034, 1060, 10020, 16029, 1012, 2423, 1061, 10020, 20741, 1012, 4293, 1060, 17848, 23988, 1012, 2423, 1061, 17848, 26257, 1012, 2423, 2415, 1035, 1060, 4261, 2475, 2415, 1035, 1061, 25162, 7605, 1035, 1060, 13285, 1012, 11518, 16068, 2475, 7605, 1035, 1061, 4185, 1012, 28004, 2575, 2683, 2620, 7605, 1035, 1062, 3938, 2629, 1012, 1014, 7023, 1014, 1012, 6391, 2683, 12521, 2487, 2465, 4601, 2171, 2452, 3058, 2570, 1011, 5641, 1011, 16798, 2475, 2051, 2321, 1024, 5718, 1024, 4724, 9099, 1035, 1060, 1014, 1012, 24902, 2575, 2581, 2475, 9099, 1035, 1061, 1011, 1014, 1012, 6185, 18827, 2620, 2581, 9099, 1035, 1062, 1014, 1012, 2997, 2683, 2683, 1053, 1035, 1060, 1011, 1014, 1012, 29359, 2620, 2487, 1053, 1035, 1061, 1014, 1012, 4029, 21486, 21084, 1053, 1035, 1062, 1011, 1014, 1012, 6185, 21084, 23352, 1053, 1035, 1059, 1011, 1014, 1012, 6021, 16048, 2620, 2620, 2171, 1024, 1018, 1010, 26718, 18863, 1024, 4874, 16029, 1012, 1016, 23988, 1012, 1016, 20741, 1012, 1022, 26257, 1012, 1016, 13285, 1012, 1015, 4185, 1012, 1021, 3938, 2629, 1012, 1014, 102]"
128,"[0.4794593657171276, 0.1129011570952087, 0.2904640037412822, -0.0138363169556308]","[101, 2529, 3413, 2033, 1996, 4874, 19034, 2452, 29562, 1012, 1016, 28048, 1012, 1016, 22115, 1012, 1015, 14210, 1012, 1016, 9645, 1012, 1020, 5345, 1012, 1018, 6564, 2509, 1012, 1014, 19034, 5835, 4261, 2683, 1012, 1016, 4008, 2475, 1012, 1022, 8732, 1012, 1023, 20549, 1012, 1019, 4868, 2487, 1012, 1020, 1011, 24568, 1012, 1019, 20636, 2629, 1012, 1014, 102]"
129,"[0.3547047598948419, -0.1333745642680897, 0.2522128002738956, -0.0217713293853397]","[101, 19034, 5835, 18164, 1012, 1022, 22234, 1012, 1016, 5986, 1012, 1020, 11816, 1012, 1014, 1011, 16798, 1012, 1014, 1011, 18253, 1012, 1019, 6584, 2620, 1012, 1014, 2529, 3531, 10616, 1996, 5835, 19034, 2452, 28977, 1012, 1016, 27433, 1012, 1016, 24709, 1012, 1016, 3486, 2683, 1012, 1022, 7886, 1012, 1020, 17365, 1012, 1021, 6255, 2475, 1012, 1014, 102]"
130,"[0.6879633765288405, 0.1298449796687345, 0.260469458924111, 0.0137812082473671]","[101, 19034, 1060, 10020, 4261, 2683, 1012, 2423, 1061, 10020, 8732, 1012, 27658, 1060, 17848, 4008, 2475, 1012, 4293, 1061, 17848, 20549, 1012, 1019, 2415, 1035, 1060, 27517, 2415, 1035, 1061, 17317, 7605, 1035, 1060, 4868, 2487, 1012, 3438, 29537, 2509, 7605, 1035, 1061, 1011, 24568, 1012, 3429, 28756, 2575, 2509, 7605, 1035, 1062, 20636, 2629, 1012, 1014, 7023, 1014, 1012, 6227, 18139, 2692, 2629, 2465, 4464, 2171, 5835, 3058, 2570, 1011, 5641, 1011, 16798, 2475, 2051, 2321, 1024, 2321, 1024, 5890, 9099, 1035, 1060, 1014, 1012, 4700, 2683, 19961, 2683, 9099, 1035, 1061, 1014, 1012, 11176, 21057, 2487, 9099, 1035, 1062, 1014, 1012, 17222, 21472, 2549, 1053, 1035, 1060, 1011, 1014, 1012, 6227, 2683, 2575, 2620, 2620, 1053, 1035, 1061, 1014, 1012, 4029, 2581, 2575, 2683, 2683, 1053, 1035, 1062, 1011, 1014, 1012, 5890, 22025, 21619, 1053, 1035, 1059, 1011, 1014, 1012, 5890, 2575, 2683, 23499, 2171, 1024, 4008, 1010, 26718, 18863, 1024, 4874, 4261, 2683, 1012, 1016, 4008, 2475, 1012, 1022, 8732, 1012, 1023, 20549, 1012, 1019, 4868, 2487, 1012, 1020, 1011, 24568, 1012, 1019, 20636, 2629, 1012, 1014, 19034, 1060, 10020, 4601, 2683, 1012, 1019, 1061, 10020, 11816, 1012, 22810, 1060, 17848, 4720, 2549, 1012, 1014, 1061, 17848, 4261, 2549, 1012, 1014, 2415, 1035, 1060, 4700, 2487, 2415, 1035, 1061, 22060, 7605, 1035, 1060, 6640, 2692, 1012, 2753, 23833, 22907, 7605, 1035, 1061, 28906, 1012, 28952, 26224, 2549, 7605, 1035, 1062, 19883, 2549, 1012, 1014, 7023, 1014, 1012, 25535, 2620, 2683, 2620, 2465, 4464, 2171, 5835, 3058, 2570, 1011, 5641, 1011, 16798, 2475, 2051, 2321, 1024, 2184, 1024, 2756, 9099, 1035, 1060, 1014, 1012, 6273, 2581, 2683, 2575, 2509, 9099, 1035, 1061, 1014, 1012, 14378, 2620, 19961, 9099, 1035, 1062, 1014, 1012, 13539, 21472, 2683, 1053, 1035, 1060, 1014, 1012, 6227, 18139, 16932, 1053, 1035, 1061, 1011, 1014, 1012, 4261, 2683, 22407, 2683, 1053, 1035, 1062, 1014, 1012, 5890, 24434, 2620, 2487, 1053, 1035, 1059, 1014, 1012, 6185, 27814, 25746, 2171, 1024, 2570, 1010, 26718, 18863, 1024, 4874, 4601, 2683, 1012, 1019, 4720, 2549, 1012, 1014, 11816, 1012, 1020, 4261, 2549, 1012, 1014, 6640, 2692, 1012, 1019, 28906, 1012, 1019, 19883, 2549, 1012, 1014, 2529, 2064, 1045, 2031, 1996, 2157, 4874, 102]"
