,label,tokens
66,2,"[101, 6723, 1996, 5474, 11867, 6657, 19099, 2099, 3531, 1016, 102]"
67,2,"[101, 2202, 1996, 2187, 2452, 1016, 102]"
68,2,"[101, 3531, 6723, 1996, 4874, 1016, 102]"
69,1,"[101, 2507, 2033, 1996, 2157, 14757, 1015, 102]"
70,2,"[101, 3531, 10616, 1996, 4874, 1016, 102]"
71,2,"[101, 6723, 1996, 2187, 4874, 3531, 1016, 102]"
72,1,"[101, 2192, 2033, 1996, 2452, 1015, 102]"
73,2,"[101, 3531, 2202, 1996, 2452, 1016, 102]"
74,2,"[101, 10616, 1996, 2157, 2452, 3531, 1016, 102]"
75,2,"[101, 3531, 6723, 1996, 2187, 2452, 1016, 102]"
76,1,"[101, 3531, 2507, 2033, 1996, 2157, 14757, 1015, 102]"
77,2,"[101, 2202, 1996, 2187, 14757, 1016, 102]"
78,1,"[101, 3531, 2192, 2033, 1996, 14757, 1015, 102]"
79,2,"[101, 10616, 1996, 14757, 3531, 1016, 102]"
80,1,"[101, 2064, 1045, 2031, 1996, 2187, 4874, 1015, 102]"
81,2,"[101, 3531, 2202, 1996, 4874, 1016, 102]"
82,2,"[101, 6723, 1996, 2187, 4874, 3531, 1016, 102]"
83,1,"[101, 2192, 2033, 1996, 2157, 3482, 1015, 102]"
84,2,"[101, 10616, 1996, 2187, 10336, 1016, 102]"
85,2,"[101, 2202, 1996, 2157, 2892, 1016, 102]"
86,2,"[101, 3531, 6723, 1996, 2892, 1016, 102]"
87,1,"[101, 2064, 1045, 2031, 1996, 2157, 5835, 1015, 102]"
88,2,"[101, 3531, 10616, 1996, 5835, 1016, 102]"
89,2,"[101, 2202, 1996, 5835, 3531, 1016, 102]"
90,2,"[101, 6723, 1996, 2157, 11565, 6073, 2099, 1016, 102]"
91,2,"[101, 10616, 1996, 11565, 11867, 6657, 19099, 2099, 3531, 1016, 102]"
92,1,"[101, 3413, 2033, 1996, 2157, 5474, 6073, 2099, 1015, 102]"
93,2,"[101, 3531, 2202, 1996, 11565, 6073, 2099, 1016, 102]"
94,0,"[101, 2017, 2323, 7933, 18292, 2008, 2053, 6173, 16300, 2030, 2606, 27915, 2022, 6247, 1999, 1996, 2300, 2043, 8328, 2027, 2681, 18399, 2121, 6017, 1996, 21839, 2250, 6666, 15669, 17252, 26180, 25022, 10182, 10974, 9016, 102]"
95,0,"[101, 2002, 27108, 2102, 11649, 27266, 14644, 2025, 2007, 2010, 2009, 3791, 2000, 2022, 19817, 8913, 24826, 2102, 2011, 10957, 102]"
96,0,"[101, 2085, 1037, 5182, 2214, 2158, 2170, 2006, 3157, 4487, 6371, 6447, 2000, 2272, 1998, 3693, 2149, 2279, 2002, 8280, 2370, 2000, 2256, 9293, 2005, 3057, 1996, 2058, 3860, 2003, 2521, 2062, 2566, 12044, 3512, 102]"
97,0,"[101, 4584, 3113, 2006, 29132, 2116, 10466, 1999, 7198, 14366, 2015, 8168, 2002, 2939, 1999, 2588, 2014, 8468, 2025, 2302, 2204, 3114, 2038, 1996, 28141, 2042, 2170, 8183, 15431, 8845, 102]"
98,0,"[101, 1996, 5439, 2075, 11397, 5451, 1999, 2010, 5684, 2027, 2097, 2202, 1037, 5030, 4440, 2101, 2061, 2065, 10334, 14017, 28775, 3215, 2011, 3042, 2191, 2469, 2017, 5653, 1996, 3899, 2232, 2000, 1996, 2682, 2014, 2597, 4472, 1037, 2193, 1997, 3679, 8518, 2691, 2000, 2151, 2591, 2472, 102]"
99,0,"[101, 3958, 7825, 2038, 2042, 2770, 1996, 2231, 2053, 2027, 2031, 2025, 2673, 2038, 2049, 2173, 1998, 3800, 102]"
100,0,"[101, 2027, 2018, 2053, 2336, 2122, 2024, 6659, 18421, 4184, 2064, 2069, 2079, 2061, 2172, 102]"
101,0,"[101, 2002, 2040, 2515, 2025, 2293, 11113, 8621, 1999, 2331, 1996, 2047, 4182, 2003, 26106, 1998, 8075, 1996, 2047, 4182, 2003, 6234, 1998, 7107, 17191, 2070, 2031, 2939, 2083, 3255, 1998, 14038, 2000, 3288, 2017, 2037, 4471, 1997, 3246, 102]"
102,0,"[101, 2119, 3903, 2097, 2022, 5204, 1997, 2023, 2197, 2095, 2009, 2001, 25641, 2015, 1999, 2010, 6181, 102]"
103,0,"[101, 1045, 2123, 1005, 1056, 2215, 2000, 2224, 2009, 2802, 1996, 4693, 2111, 2031, 4541, 1996, 10098, 2019, 2536, 15544, 2571, 102]"
